CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,Priority Date,Grant Date,,Publication Number
68489-14-5,N-[(Ethoxycarbonyl)methyl)-p-menthane-3-carboxamide,Herbal,Minty,Cooling,2004-04-02,2007-03-13,1075d,US-2005222256-A1
871465-49-5,Cassyrane,Fruity,Juicy,Blackcurrant,2004-03-15,2012-06-20,3019d,BR-PI0508817-B1
2345-24-6,Neryl isobutyrate,Fruity,Sweet,Berry,2004-03-12,2014-10-21,3875d,EP-2292585-A1
34322-06-0,S-Isopropyl 3-methylthiobutyrate,Green,Galbanum,Sulfurous,2004-02-13,2011-12-01,2848d,TW-I353354-B
68698-59-9,trans-2-Hexenyl isovalerate,Green,Fruity,Apple,2004-01-30,2016-04-27,4471d,EP-1708570-A2
3239-35-8,"(E)-6,10-Dimethylundeca-5,9-dien-2-yl acetate",Citrus,Tangerine,Fresh,2003-12-19,2007-10-10,1391d,EP-1697386-A1
2432-91-9,S-2-Butyl 3-methylbutanethioate,Green,Herbal,Leafy,2003-11-17,,,US-2007065394-A1
850997-10-3,"1-Cyclohexene-1-propanal, 4,4-dimethyl-",Floral,Green,Muguet,2003-11-06,2011-08-17,2841d,EP-1529770-A1
6315-04-4,Phenethyl 2-ethylbutyrate,Fruity,Green,Floral,2003-07-09,2012-02-15,3143d,EP-1682230-A1
93981-50-1,"Ethyl 2,3,6-trimethylcyclohexyl carbonate",Floral,Rose,Leathery,2003-07-09,,,US-2006166857-A1
68489-09-8,"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)cyclohexanecarboxamide",Minty,Fresh,Green,2003-07-02,2017-12-20,5285d,EP-1656144-B2
76788-46-0,"4,5-Dimethyl-2-ethyl-3-thiazoline",Sulfurous,nutty,Vegetable,2003-06-27,2006-12-19,1271d,JP-2005015683-A
59056-62-1,"Octahydro-7,7,8,8-tetramethyl-2,3b-methano-3bH-
cyclopenta[1,3]cyclopropa[1,2]benzene-4-methyl acetate",Woody,Amber,Sandalwood,2003-05-30,2006-11-07,1257d,US-2004242936-A1
67643-70-3,"Carbamic acid, N,N-dimethyl-, 1-ethenyl-1,5-dimethyl-4-hexen-1-yl ester",Spicy,Fresh,Peppery,2003-04-14,2009-12-30,2452d,EP-1613587-B1
820975-49-3,"2-Propenoic acid, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methylpropyl ester",Musk like,Fruity,Pear,2003-03-19,2006-06-07,1176d,EP-1459735-A1
97358-54-8,(E)-1-(1-Methoxypropoxy)hex-3-ene,Green,Fresh,Fruity,2003-02-26,,,US-2006135400-A1
97358-55-9,(Z)-1-(1-Methoxypropoxy)hex-3-ene,Green,Fresh,Fruity,2003-02-26,,,US-2006135400-A1
67674-47-9,"(2E,6E)-Nona-2,6-dienyl acetate",Green,Floral,Violet,2003-01-21,2008-11-18,2128d,US-2004176335-A1
214335-70-3,"2H-Pyran-2-one, tetrahydro-5-propyl-",Gourmand,Coconut,Tobacco,2002-11-27,2007-09-26,1764d,EP-1565540-B1
32669-00-4,"Ethanone, 1-(3-cycloocten-1-yl)-",Herbal,Fruity,Artemisia,2002-10-21,2009-07-29,2473d,EP-1555998-A1
502847-01-0,"Spiro[5.5]undec-8-en-1-one, 2,2,7,9-tetramethyl-",Herbal,Sage,Citrus,2002-10-14,2007-08-22,1773d,EP-1411110-A1
678981-31-2,"Spiro{5.5}undec-8-en-1-ol,2,2,9,11-tetramethyl-,1-acetate",Woody,Amber,Powdery,2002-10-14,2007-08-22,1773d,EP-1411110-A1
950919-28-5,"2H-1,5-Benzodioxepin-3(4H)-one, 7-(1-methylethyl)-",Floral,Green,Marine,2002-10-02,2017-06-21,5376d,EP-1405851-A1
68683-20-5,Menthadiene-7-methyl formate,Citrus,Herbal,Minty,2002-08-14,2011-06-02,3214d,AU-2003251377-A1
42436-07-7,3-Hexenyl phenylacetate,Green,Floral,Honey,2002-08-09,2008-12-10,2315d,EP-1552814-A1
105-89-5,Rhodinyl propionate,Floral,Rose,Geranium,2002-08-09,2008-12-10,2315d,EP-1552814-B1
851768-51-9,"3-Hexanone, 5-mercapto-5-methyl-",Fruity,Grape,Cassis,2002-05-14,2005-05-18,1100d,JP-2003327993-A
80657-64-3,"Ethyl  (3a.alpha.,4.alpha.,7.alpha.,7a.alpha.)-Octahydro-4,7-methano-3aH-indene-3a-
carboxylate",Fruity,Sweet,Apple,2002-02-23,2010-06-29,3048d,EP-1481049-A1
